student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,14.71,2.21,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-19.61,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
2,14.71,2.21,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-27.79,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,14.71,2.21,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-19.61,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
4,14.71,2.21,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-19.61,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
5,11.76,1.76,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-20.05,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
6,14.71,2.21,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-19.61,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
7,14.71,2.21,0.0,0.0,0.0,0.0,-36.36,-21.82,1,11,-19.61,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-36.36 < 50,НЕТ
8,14.71,2.21,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-27.79,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,14.71,2.21,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-27.79,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
